Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.2817, Top 3: 0.5248, Top 5: 0.6510
(gnn) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.2817  (431/1530)
(gnn) Accuracies of the localization task per number of reference nodes: 
245: 0.0000  (0/1)
249: 0.0000  (0/1)
252: 0.0000  (0/2)
261: 0.0000  (0/2)
263: 0.0000  (0/3)
264: 0.0000  (0/3)
275: 0.0000  (0/3)
292: 0.0000  (0/3)
297: 0.0000  (0/3)
304: 0.0000  (0/4)
308: 0.0000  (0/4)
352: 0.0000  (0/4)
353: 0.0000  (0/1)
357: 0.0000  (0/3)
381: 0.0000  (0/4)
384: 0.0000  (0/1)
389: 0.0000  (0/1)
390: 0.0000  (0/4)
407: 0.0000  (0/4)
437: 0.0000  (0/5)
451: 0.0000  (0/1)
504: 0.0000  (0/4)
587: 0.0000  (0/1)
882: 0.0000  (0/4)
Training parameters: #Layers: 8, #Hidden channels: 128, Learning rate: 1e-05, #Training graphs: 4138, #Avg. Reference nodes in evaluation graphs: 73.2673202614379, Use Scaler: False
Removed bugtypes: ArgSwapRewriteScout, LiteralRewriteScout, BooleanOperatorRewriteScout, AssignRewriteScout, BinaryOperatorRewriteScout, ComparisonOperatorRewriteScout, VariableMisuseRewriteScout
